Kind,Run,Stage,Model,ImgSize,Epochs,Batch,File,Size (MB),mAP@0.5,mAP@0.5:0.95,Train Time (min),Params (M),FLOPs (G),Latency (ms)
run,runs_train\reduced_min_640_pico,reduced_arch,models\reduced_min_640_pico.yaml,640,250,16,runs_train\reduced_min_640_pico\weights\best.pt,0.26,0.70961,0.3908,0.0,0.0812,0.1469,1.855
run,runs_train\reduced_min_320_tiny,reduced_arch,models\reduced_min_320_tiny.yaml,320,200,32,runs_train\reduced_min_320_tiny\weights\best.pt,0.735,0.83975,0.51835,0.0,0.3029,0.2154,10.096
run,runs_train\reduced_min_640_tiny,reduced_arch,models/reduced_min_640_tiny.yaml,640,150,16,runs_train\reduced_min_640_tiny\weights\best.pt,0.766,0.87866,0.56175,0.0,0.3029,0.2154,8.887
run,runs_train\reduced_min_320_v3,reduced_arch,models\reduced_min_320_v3.yaml,320,150,32,runs_train\reduced_min_320_v3\weights\best.pt,2.126,0.86515,0.54774,0.0,1.0207,0.4562,11.165
run,runs_train\reduced_min_640_v3,reduced_arch,models\reduced_min_640_v3.yaml,640,150,16,runs_train\reduced_min_640_v3\weights\best.pt,2.164,0.90301,0.59633,384.7,1.0207,0.4562,10.222
run,runs_train\reduced_min_320_v2,reduced_arch,models\reduced_min_320_v2.yaml,320,100,32,runs_train\reduced_min_320_v2\weights\best.pt,3.109,0.861,0.54021,0.0,1.5387,0.5748,11.212
run,runs_train\reduced_min_640_v2,reduced_arch,models\reduced_min_640_v2.yaml,640,150,16,runs_train\reduced_min_640_v2\weights\best.pt,3.154,0.90779,0.60264,340.8,1.5387,0.5748,10.329
run,runs_train\reduced_min_320_v1,reduced_arch,models\reduced_min_320_v1.yaml,320,10,16,runs_train\reduced_min_320_v1\weights\best.pt,3.603,0.76381,0.44928,0.0,1.7992,0.6469,10.089
run,runs_train\reduced_min_640_v1,reduced_arch,models\reduced_min_640_v1.yaml,640,150,16,runs_train\reduced_min_640_v1\weights\best.pt,3.658,0.91005,0.60785,374.8,1.7992,0.6469,10.611
run,runs_train\baseline_v8n_320,baseline,yolov8n.pt,640,60,16,runs_train\baseline_v8n_320\weights\best.pt,5.961,0.91994,0.62345,2867.0,3.011,1.0243,10.033
run,runs_train\baseline_v8n_640,baseline,yolov8n.pt,640,60,16,runs_train\baseline_v8n_640\weights\best.pt,5.961,0.91994,0.62345,2414.2,3.011,1.0243,10.145
