epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.992,1.52716,1.66434,1.16024,0.83337,0.69784,0.76936,0.42379,1.21588,28.1144,0.93742,0.00331944,0.00331944,0.00331944
2,198.372,1.4344,1.0473,1.07923,0.82224,0.68904,0.76708,0.41111,1.27606,19.5527,0.96378,0.00654301,0.00654301,0.00654301
3,297.571,1.48414,1.04182,1.10069,0.76966,0.57971,0.65073,0.33822,1.44555,111.138,1.07367,0.00965657,0.00965657,0.00965657
4,379.034,1.50106,1.03179,1.11717,0.82587,0.66397,0.73687,0.39791,1.2793,16.7834,0.98787,0.009505,0.009505,0.009505
5,469.469,1.4648,0.96868,1.10166,0.87255,0.64455,0.73548,0.41697,1.23522,15.8183,0.96926,0.00934,0.00934,0.00934
6,547.525,1.43013,0.9124,1.09099,0.88604,0.72367,0.79365,0.45898,1.18369,3.05611,0.94439,0.009175,0.009175,0.009175
7,677.2,1.40892,0.88445,1.07826,0.87007,0.70923,0.79032,0.45096,1.20019,5.61884,0.94076,0.00901,0.00901,0.00901
8,821.839,1.38647,0.85413,1.07235,0.88059,0.71441,0.79655,0.47008,1.1636,17.8225,0.94204,0.008845,0.008845,0.008845
9,934.756,1.3748,0.84269,1.0668,0.89644,0.73737,0.82277,0.47077,1.20373,4.10041,0.93865,0.00868,0.00868,0.00868
10,1070.5,1.36782,0.8292,1.06287,0.88937,0.75681,0.82828,0.49373,1.11423,9.6341,0.9167,0.008515,0.008515,0.008515
11,1202.95,1.35206,0.81534,1.05932,0.89247,0.75812,0.82837,0.4928,1.15171,9.605,0.93219,0.00835,0.00835,0.00835
12,1281.15,1.34349,0.79864,1.05591,0.88509,0.74825,0.82373,0.49328,1.11711,19.7084,0.91129,0.008185,0.008185,0.008185
13,1356.41,1.33295,0.79214,1.04836,0.8941,0.76663,0.8423,0.50006,1.12891,6.41589,0.92226,0.00802,0.00802,0.00802
14,1432.65,1.32575,0.78081,1.04704,0.90525,0.76162,0.8339,0.50419,1.08564,5.4632,0.90916,0.007855,0.007855,0.007855
15,1512.5,1.31783,0.78026,1.04627,0.88852,0.77847,0.84643,0.5114,1.1056,4.20787,0.90916,0.00769,0.00769,0.00769
16,1628.38,1.31282,0.7704,1.04337,0.89456,0.77163,0.84352,0.51664,1.09994,4.6766,0.90602,0.007525,0.007525,0.007525
17,1736.45,1.30282,0.75796,1.04103,0.90521,0.7806,0.85443,0.52903,1.06467,2.59886,0.89445,0.00736,0.00736,0.00736
18,1900.98,1.30506,0.75373,1.03783,0.89879,0.77892,0.85022,0.51054,1.13083,3.81387,0.92093,0.007195,0.007195,0.007195
19,2033.62,1.2959,0.74497,1.03429,0.90436,0.78394,0.85486,0.52714,1.05556,2.694,0.89082,0.00703,0.00703,0.00703
20,2106.67,1.29024,0.74308,1.03037,0.91071,0.78409,0.85539,0.53101,1.07107,2.38059,0.8928,0.006865,0.006865,0.006865
21,2245.89,1.28102,0.73585,1.03336,0.91437,0.78797,0.8643,0.53294,1.06113,3.58578,0.89282,0.0067,0.0067,0.0067
22,2419.25,1.27369,0.72692,1.02584,0.91461,0.79036,0.86373,0.53544,1.05448,2.18492,0.89316,0.006535,0.006535,0.006535
23,2508.61,1.28313,0.72851,1.02756,0.91709,0.79502,0.86624,0.53877,1.04337,2.15191,0.8859,0.00637,0.00637,0.00637
24,2580.04,1.26691,0.72,1.02469,0.91389,0.80246,0.86998,0.54671,1.03807,2.46028,0.8821,0.006205,0.006205,0.006205
25,2669.53,1.26661,0.7136,1.02138,0.91101,0.79897,0.86972,0.53931,1.03468,7.02691,0.88131,0.00604,0.00604,0.00604
26,2752.75,1.25566,0.70761,1.02164,0.91609,0.79897,0.87018,0.54835,1.02756,4.16094,0.87904,0.005875,0.005875,0.005875
27,2831.44,1.2606,0.71151,1.02229,0.91815,0.8017,0.87193,0.55091,1.02163,2.62991,0.87691,0.00571,0.00571,0.00571
28,2902.33,1.24778,0.69779,1.01674,0.9092,0.80575,0.87448,0.55145,1.01996,2.77876,0.87316,0.005545,0.005545,0.005545
29,2973.9,1.24644,0.69235,1.02094,0.91298,0.80398,0.8725,0.55186,1.02097,2.9276,0.87617,0.00538,0.00538,0.00538
30,3063.57,1.24734,0.69204,1.01661,0.91393,0.80944,0.87781,0.55461,1.02201,1.42047,0.87944,0.005215,0.005215,0.005215
31,3139.92,1.24488,0.6879,1.01593,0.91081,0.80788,0.87449,0.55509,1.01778,3.31668,0.87599,0.00505,0.00505,0.00505
32,3212.14,1.23857,0.68876,1.0161,0.92093,0.8099,0.87955,0.55756,1.01063,3.03568,0.87282,0.004885,0.004885,0.004885
33,3283.29,1.22975,0.67594,1.01045,0.91565,0.81187,0.88112,0.56032,1.00556,2.90789,0.87319,0.00472,0.00472,0.00472
34,3367.05,1.23226,0.67473,1.01269,0.9152,0.81203,0.87762,0.56103,1.00326,2.37484,0.87372,0.004555,0.004555,0.004555
35,3458,1.22324,0.67374,1.01201,0.92425,0.81066,0.88001,0.56155,1.00249,2.34219,0.87048,0.00439,0.00439,0.00439
36,3529.4,1.2299,0.66958,1.00851,0.92119,0.81521,0.88153,0.55934,1.00562,1.94548,0.8709,0.004225,0.004225,0.004225
37,3600.24,1.21839,0.66791,1.0069,0.91941,0.81218,0.88004,0.56376,0.99645,2.773,0.86652,0.00406,0.00406,0.00406
38,3671.04,1.21336,0.66039,1.00376,0.92103,0.81825,0.88297,0.56546,1.0028,2.4424,0.87028,0.003895,0.003895,0.003895
39,3741.67,1.20719,0.6511,1.00209,0.91611,0.82083,0.88223,0.56596,0.99365,1.87576,0.86869,0.00373,0.00373,0.00373
40,3812.97,1.21368,0.65407,1.00235,0.92031,0.81977,0.88477,0.56856,0.98939,2.59512,0.86445,0.003565,0.003565,0.003565
41,3884.11,1.201,0.64765,1.00085,0.92569,0.81947,0.8849,0.56882,0.9909,2.16527,0.86553,0.0034,0.0034,0.0034
42,3956.7,1.20113,0.64135,0.99784,0.92423,0.82044,0.88426,0.57065,0.98952,2.14054,0.86464,0.003235,0.003235,0.003235
43,4026.88,1.19457,0.64111,0.99937,0.92208,0.81931,0.88463,0.57255,0.9825,1.8572,0.8643,0.00307,0.00307,0.00307
