epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.389,3.00297,2.79949,2.6619,0.5663,0.35697,0.3812,0.16325,1.80018,3.54349,1.51311,0.000666048,0.000666048,0.000666048
2,374.915,1.9808,1.56453,1.6087,0.64942,0.42909,0.48301,0.22915,1.62516,5.08277,1.35506,0.00120078,0.00120078,0.00120078
3,481.497,1.76962,1.32016,1.45504,0.76713,0.54449,0.61797,0.32031,1.42062,12.4489,1.20415,0.0016035,0.0016035,0.0016035
4,567.065,1.66701,1.18775,1.39128,0.80386,0.59493,0.67671,0.3616,1.38106,2.94721,1.1726,0.001406,0.001406,0.001406
5,654.439,1.60744,1.0963,1.35103,0.83197,0.61783,0.70199,0.38847,1.3124,2.16578,1.137,0.001208,0.001208,0.001208
6,743.186,1.55776,1.02966,1.32469,0.84314,0.6447,0.72391,0.41042,1.28035,2.0381,1.11726,0.00101,0.00101,0.00101
7,832.508,1.52244,0.97554,1.30117,0.86493,0.65077,0.74688,0.42396,1.24841,2.79486,1.10054,0.000812,0.000812,0.000812
8,920.757,1.48441,0.93751,1.28343,0.85144,0.6701,0.75014,0.42827,1.24095,3.07384,1.09644,0.000614,0.000614,0.000614
9,1008.68,1.45804,0.89831,1.26793,0.86285,0.67823,0.75482,0.43965,1.2149,2.1804,1.09022,0.000416,0.000416,0.000416
10,1094.57,1.42847,0.86405,1.24893,0.87254,0.68082,0.76381,0.44928,1.19973,2.06258,1.07804,0.000218,0.000218,0.000218
