epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.346,3.02462,3.06722,3.07139,0.38319,0.27224,0.24442,0.09654,2.00041,14.1342,2.05958,0.00333024,0.00333024,0.00333024
2,275.57,2.29691,2.38444,2.22898,0.57476,0.38131,0.42007,0.1941,1.78185,13.2405,1.73245,0.00663719,0.00663719,0.00663719
3,391.249,2.08684,2.11385,1.98055,0.63361,0.43289,0.49027,0.23556,1.6734,16.2443,1.62413,0.00991773,0.00991773,0.00991773
4,508.703,1.9978,1.97797,1.89561,0.66841,0.46174,0.52371,0.2529,1.65101,10.0775,1.5774,0.0098812,0.0098812,0.0098812
5,631.039,1.92597,1.86105,1.83565,0.69389,0.49837,0.57489,0.28586,1.56377,18.8779,1.53827,0.0098416,0.0098416,0.0098416
6,751.32,1.89676,1.79777,1.8001,0.71567,0.50456,0.5868,0.29796,1.57157,10.1083,1.52274,0.009802,0.009802,0.009802
7,872.931,1.86099,1.73426,1.77478,0.71287,0.51868,0.60115,0.3081,1.5585,11.1697,1.50806,0.0097624,0.0097624,0.0097624
8,994.732,1.84582,1.71596,1.76055,0.72622,0.51069,0.59595,0.3082,1.5357,11.0821,1.48785,0.0097228,0.0097228,0.0097228
9,1115.46,1.81428,1.6647,1.7389,0.73874,0.5495,0.63102,0.32364,1.52089,14.4944,1.47165,0.0096832,0.0096832,0.0096832
10,1235.78,1.81186,1.65492,1.73351,0.74695,0.55709,0.63506,0.33234,1.49745,15.8976,1.47552,0.0096436,0.0096436,0.0096436
11,1357.16,1.80035,1.64547,1.72966,0.74688,0.55735,0.64351,0.33859,1.49807,11.3384,1.46703,0.009604,0.009604,0.009604
12,1478.86,1.78627,1.62413,1.71861,0.75668,0.55466,0.63815,0.33427,1.49862,10.3703,1.46967,0.0095644,0.0095644,0.0095644
13,1604.23,1.78943,1.61104,1.71503,0.76064,0.55586,0.64559,0.33865,1.49395,9.90107,1.46546,0.0095248,0.0095248,0.0095248
14,1719.23,1.78414,1.60873,1.71283,0.75446,0.56499,0.65141,0.34225,1.48733,9.38122,1.45106,0.0094852,0.0094852,0.0094852
15,1834.69,1.77375,1.59616,1.70506,0.76606,0.57376,0.66048,0.34473,1.47275,10.4497,1.43565,0.0094456,0.0094456,0.0094456
16,1952.62,1.76692,1.57281,1.69294,0.78186,0.55946,0.65338,0.34384,1.4836,7.39967,1.4437,0.009406,0.009406,0.009406
17,2067.92,1.76479,1.5818,1.70201,0.7583,0.57683,0.66126,0.35045,1.47523,12.7294,1.44205,0.0093664,0.0093664,0.0093664
18,2184.69,1.76048,1.57053,1.69627,0.76428,0.58184,0.66697,0.35519,1.47072,12.5361,1.43548,0.0093268,0.0093268,0.0093268
19,2305.67,1.7503,1.55738,1.68701,0.7539,0.57804,0.66363,0.35336,1.46452,12.8583,1.43188,0.0092872,0.0092872,0.0092872
20,2426.12,1.76057,1.56293,1.69369,0.77709,0.57197,0.66476,0.35317,1.46639,11.3823,1.43759,0.0092476,0.0092476,0.0092476
21,2546.73,1.75157,1.55893,1.69013,0.77253,0.58533,0.67294,0.3572,1.4545,10.2157,1.42836,0.009208,0.009208,0.009208
22,2667.46,1.74361,1.53935,1.68139,0.77262,0.57783,0.67004,0.35793,1.45801,11.6033,1.42499,0.0091684,0.0091684,0.0091684
23,2788.68,1.74292,1.54251,1.67648,0.76355,0.59626,0.6754,0.35902,1.45539,10.7678,1.42364,0.0091288,0.0091288,0.0091288
24,2908.99,1.73952,1.5361,1.67935,0.77633,0.57774,0.67418,0.36159,1.46279,10.4426,1.42723,0.0090892,0.0090892,0.0090892
25,3029.94,1.74124,1.53312,1.6755,0.78112,0.59156,0.67775,0.36159,1.44992,11.4525,1.42291,0.0090496,0.0090496,0.0090496
26,3151.39,1.7375,1.52978,1.67778,0.77074,0.59809,0.68116,0.36255,1.45234,10.954,1.42352,0.00901,0.00901,0.00901
27,3272,1.73764,1.52928,1.67274,0.77101,0.59099,0.67643,0.36491,1.44746,9.98827,1.42144,0.0089704,0.0089704,0.0089704
