epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.149,3.18145,3.47953,3.39266,0.43183,0.30428,0.29235,0.12239,1.9262,36.0181,2.07922,0.00333024,0.00333024,0.00333024
2,151.409,2.15043,2.1359,2.15837,0.64616,0.47738,0.51995,0.25591,1.56689,31.2239,1.64468,0.00661959,0.00661959,0.00661959
3,222.363,1.87463,1.74985,1.83806,0.77548,0.54403,0.63498,0.33447,1.4618,22.2622,1.52856,0.00986495,0.00986495,0.00986495
4,293.157,1.75403,1.55892,1.71688,0.80109,0.61945,0.71053,0.39782,1.37447,12.9567,1.42631,0.009802,0.009802,0.009802
5,364.453,1.67377,1.3974,1.62441,0.81254,0.66404,0.74642,0.4169,1.34602,12.4094,1.38306,0.009736,0.009736,0.009736
6,435.422,1.6268,1.30375,1.59113,0.85599,0.67958,0.77169,0.43796,1.32138,5.39284,1.36506,0.00967,0.00967,0.00967
7,506.488,1.59512,1.24236,1.56746,0.85085,0.67507,0.76699,0.4408,1.3003,7.69488,1.33593,0.009604,0.009604,0.009604
8,577.356,1.56956,1.20592,1.54491,0.871,0.69202,0.78021,0.44837,1.31736,5.62433,1.35295,0.009538,0.009538,0.009538
9,648.125,1.54848,1.16812,1.52624,0.87239,0.70064,0.7906,0.4619,1.27162,4.60578,1.29726,0.009472,0.009472,0.009472
10,718.826,1.5386,1.13351,1.51768,0.86865,0.72,0.80382,0.47822,1.24633,6.03788,1.28796,0.009406,0.009406,0.009406
11,789.769,1.52774,1.12354,1.49841,0.88782,0.71212,0.80324,0.47098,1.25688,3.88627,1.28979,0.00934,0.00934,0.00934
12,860.426,1.50812,1.08914,1.48863,0.88624,0.71409,0.80463,0.47824,1.23988,3.12384,1.27455,0.009274,0.009274,0.009274
13,931.05,1.513,1.08632,1.48145,0.87423,0.73702,0.8164,0.48221,1.23374,3.96202,1.26869,0.009208,0.009208,0.009208
14,1001.71,1.49423,1.07288,1.47363,0.88222,0.73034,0.81263,0.48765,1.21167,3.43535,1.25075,0.009142,0.009142,0.009142
15,1072.53,1.48572,1.05504,1.46745,0.89613,0.73717,0.82675,0.49346,1.20516,4.37322,1.24784,0.009076,0.009076,0.009076
16,1143.32,1.49197,1.04794,1.46942,0.88457,0.74121,0.82169,0.49638,1.20083,3.1656,1.23401,0.00901,0.00901,0.00901
17,1213.89,1.47499,1.02776,1.45132,0.88497,0.74932,0.82646,0.50209,1.19431,4.11982,1.22946,0.008944,0.008944,0.008944
18,1284.47,1.4666,1.02441,1.44543,0.89804,0.74223,0.83042,0.50312,1.18956,3.57819,1.21731,0.008878,0.008878,0.008878
19,1355.02,1.45881,1.0167,1.43844,0.89062,0.74916,0.83198,0.50423,1.19203,3.11283,1.2255,0.008812,0.008812,0.008812
20,1425.84,1.46726,1.01182,1.44033,0.88449,0.7534,0.83451,0.50672,1.17811,3.47626,1.20977,0.008746,0.008746,0.008746
21,1496.65,1.45966,1.00713,1.43704,0.89089,0.75747,0.83796,0.51195,1.18746,3.20932,1.2243,0.00868,0.00868,0.00868
22,1567.44,1.44908,0.99462,1.42741,0.89815,0.7601,0.84123,0.51325,1.16826,3.82114,1.20559,0.008614,0.008614,0.008614
23,1637.86,1.45381,0.99867,1.43307,0.90317,0.76192,0.84221,0.51304,1.16404,2.65389,1.19715,0.008548,0.008548,0.008548
24,1708.61,1.4414,0.97685,1.42225,0.90542,0.75721,0.84266,0.51412,1.17167,3.03914,1.20384,0.008482,0.008482,0.008482
25,1779.27,1.44193,0.9807,1.41941,0.90251,0.76466,0.84572,0.51963,1.1623,3.02388,1.19533,0.008416,0.008416,0.008416
26,1850.02,1.43751,0.97207,1.40924,0.90285,0.76618,0.84608,0.52025,1.16216,2.89832,1.18736,0.00835,0.00835,0.00835
27,1920.65,1.43032,0.96692,1.41027,0.90508,0.76784,0.84918,0.52199,1.15896,3.02438,1.18658,0.008284,0.008284,0.008284
28,1991.45,1.43077,0.96525,1.40582,0.89467,0.77513,0.84902,0.52327,1.15138,2.89481,1.18308,0.008218,0.008218,0.008218
29,2062.53,1.43112,0.95878,1.40682,0.90528,0.7677,0.84912,0.52363,1.15216,2.47714,1.18305,0.008152,0.008152,0.008152
30,2133.11,1.42636,0.94823,1.40203,0.9036,0.7724,0.8519,0.52428,1.15307,2.69588,1.18362,0.008086,0.008086,0.008086
31,2203.66,1.42355,0.95644,1.39978,0.89208,0.7807,0.85089,0.52735,1.14747,2.81572,1.17858,0.00802,0.00802,0.00802
32,2274.13,1.41726,0.94251,1.40134,0.90481,0.77938,0.85389,0.5281,1.14502,2.62679,1.18069,0.007954,0.007954,0.007954
33,2344.67,1.41717,0.93664,1.39325,0.90228,0.78507,0.85491,0.52812,1.14654,2.72545,1.1772,0.007888,0.007888,0.007888
34,2415.41,1.42122,0.94749,1.39539,0.90578,0.77949,0.85243,0.52769,1.14885,2.63458,1.17746,0.007822,0.007822,0.007822
35,2486.06,1.40985,0.93839,1.3832,0.91328,0.77239,0.85606,0.53112,1.14619,2.72426,1.17324,0.007756,0.007756,0.007756
36,2556.73,1.41731,0.93451,1.38777,0.9072,0.7768,0.85481,0.53104,1.14038,2.54185,1.16767,0.00769,0.00769,0.00769
37,2627.27,1.40972,0.93562,1.38486,0.91671,0.77073,0.85505,0.5326,1.14145,2.65455,1.16765,0.007624,0.007624,0.007624
38,2697.95,1.39876,0.91569,1.38196,0.90319,0.78196,0.85745,0.53392,1.13936,2.59532,1.16667,0.007558,0.007558,0.007558
39,2768.32,1.40297,0.91948,1.37951,0.89881,0.78359,0.85575,0.53407,1.13821,2.58695,1.16724,0.007492,0.007492,0.007492
40,2838.78,1.40009,0.92011,1.37831,0.90454,0.785,0.85759,0.53547,1.13244,2.6527,1.16141,0.007426,0.007426,0.007426
41,2909.35,1.40417,0.91926,1.38122,0.91088,0.78062,0.85846,0.53535,1.13018,2.72144,1.15948,0.00736,0.00736,0.00736
42,2979.76,1.40124,0.91244,1.37865,0.91467,0.77771,0.85928,0.53667,1.12983,2.69628,1.15805,0.007294,0.007294,0.007294
43,3050.55,1.4022,0.90819,1.37056,0.9091,0.78227,0.85907,0.53729,1.13211,2.65155,1.15799,0.007228,0.007228,0.007228
44,3121,1.38625,0.9019,1.36475,0.90552,0.78682,0.85956,0.53731,1.12898,2.64957,1.15438,0.007162,0.007162,0.007162
45,3191.48,1.39583,0.90552,1.36684,0.90934,0.78363,0.86041,0.53797,1.126,2.58721,1.15161,0.007096,0.007096,0.007096
46,3262.09,1.39659,0.90558,1.36593,0.9082,0.78709,0.86122,0.53843,1.12455,2.57613,1.15054,0.00703,0.00703,0.00703
47,3332.68,1.38862,0.90103,1.36227,0.90862,0.7853,0.86173,0.53943,1.12311,2.58216,1.14968,0.006964,0.006964,0.006964
48,3403.25,1.38761,0.89405,1.36192,0.9026,0.79138,0.86234,0.54001,1.12345,2.55504,1.14973,0.006898,0.006898,0.006898
