epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.204,3.14949,3.61454,3.39034,0.5056,0.36024,0.35343,0.14607,1.87124,34.8512,2.08251,0.00333024,0.00333024,0.00333024
2,316.209,2.1099,2.05813,2.11978,0.71421,0.512,0.58797,0.29117,1.57801,31.72,1.64428,0.00661959,0.00661959,0.00661959
3,463.8,1.8003,1.60629,1.76293,0.81005,0.59019,0.68384,0.35552,1.43096,20.4381,1.49161,0.00986495,0.00986495,0.00986495
4,609.979,1.671,1.40515,1.63794,0.84388,0.67873,0.76759,0.43965,1.31183,6.55963,1.38084,0.009802,0.009802,0.009802
5,756.245,1.5925,1.2414,1.55372,0.86281,0.70283,0.78369,0.44751,1.28966,6.53996,1.35085,0.009736,0.009736,0.009736
6,903.552,1.55121,1.15696,1.52614,0.86236,0.72138,0.79759,0.46912,1.2372,4.20758,1.31188,0.00967,0.00967,0.00967
7,1049.67,1.51441,1.09343,1.49857,0.88466,0.72555,0.81499,0.48552,1.22252,1.91583,1.29469,0.009604,0.009604,0.009604
8,1197.99,1.49394,1.06589,1.48436,0.88925,0.74005,0.82433,0.49149,1.22604,3.7834,1.29527,0.009538,0.009538,0.009538
9,1344.35,1.47545,1.03299,1.46939,0.89529,0.74385,0.82635,0.48993,1.19814,4.27282,1.26596,0.009472,0.009472,0.009472
10,1490.82,1.46198,1.00293,1.45526,0.89876,0.75979,0.83646,0.5035,1.18814,3.14503,1.26018,0.009406,0.009406,0.009406
11,1639.93,1.44597,0.98783,1.43786,0.89503,0.76253,0.84216,0.51221,1.16976,3.00532,1.24434,0.00934,0.00934,0.00934
12,1786.2,1.42866,0.96087,1.42566,0.90265,0.7689,0.84178,0.51239,1.17277,2.15932,1.23767,0.009274,0.009274,0.009274
13,1932.19,1.43303,0.95789,1.42138,0.89954,0.77847,0.85029,0.51742,1.15905,3.3809,1.22716,0.009208,0.009208,0.009208
14,2078.43,1.41281,0.93872,1.41281,0.90507,0.78317,0.85629,0.52605,1.14716,2.57231,1.21424,0.009142,0.009142,0.009142
15,2226.45,1.40575,0.92807,1.40897,0.90479,0.77968,0.85704,0.52879,1.13761,2.58384,1.20687,0.009076,0.009076,0.009076
16,2372.49,1.40715,0.91381,1.40987,0.91936,0.78067,0.86028,0.53034,1.13056,1.63738,1.20174,0.00901,0.00901,0.00901
17,2518.68,1.39241,0.8983,1.38984,0.90575,0.79335,0.86537,0.53664,1.12724,3.15975,1.19292,0.008944,0.008944,0.008944
